date,price
12/31/2016,0.81924
1/31/2017,0.84755
2/28/2017,0.86265
3/31/2017,0.89314
4/30/2017,0.91246
5/31/2017,0.92607
6/30/2017,0.94026
7/31/2017,0.95089
8/31/2017,0.9549
9/30/2017,0.95324
10/31/2017,0.9734
11/30/2017,0.95752
12/1/2017,0.95752
12/2/2017,0.95752
12/3/2017,0.95752
12/4/2017,0.95393
12/5/2017,0.95338
12/6/2017,0.94716
12/7/2017,0.94758
12/8/2017,0.95131
12/9/2017,0.95131
12/10/2017,0.95131
12/11/2017,0.95421
12/12/2017,0.95559
12/13/2017,0.96028
12/14/2017,0.9654
12/15/2017,0.9627
12/16/2017,0.9627
12/17/2017,0.9627
12/18/2017,0.96227
12/19/2017,0.96383
12/20/2017,0.96824
12/21/2017,0.97222
12/22/2017,0.97436
12/23/2017,0.97436
12/24/2017,0.97436
12/25/2017,0.97436
12/26/2017,0.97578
12/27/2017,0.97905
12/28/2017,0.9846
12/29/2017,0.9863
12/30/2017,0.9863
12/31/2017,0.9863